SCHLAGSATZ,SCHLAGNR,KTA_VJ,KTA_AJ,SCHLAGFLAE,LE_FLAECHE,AUKM,OER_VJ,OEKOREGELN,GLOEZ6,GLOEZ_ZF_U,KUP,SONSTIGE,ANSAATJAHR,ERNTEJAHR,BEMERKUNG,dist_to_water_m,fertilizer_amount_N_kg_per_ha,area_ha,n_applied_kg_ha,n_total_kg,n_estimated_to_water_kg
206851511,36,42,42,8370,0,"K,L",ÖR2,ÖR2,3,,,,,,,1626.624105813612,40,1.98573583910572,,,
206851512,35,928,928,19523,0,"JM,K",,,1,,,,,,,118.50481805715086,0,4.634282748762901,,,
206851513,34,928,928,8688,0,"JO,K",,,1,,,,,,,34.376409210496625,0,2.062354963906863,,,
206851514,33,88,928,8100,0,"JM,K",,,1,,,,,,,27.857698898706897,0,1.922654364509219,,,
206851515,31,88,928,1418,0,"JM,K",,,1,,,,,,,1478.4621951376087,40,0.33641748388169834,,,
206851517,23,311,131,121522,0,,ÖR2,ÖR2,2,,,,,,,1708.2262053873662,40,28.92489287168635,,,
206851518,21,311,131,27376,0,,ÖR2,ÖR2,2,,,,,,,2689.624564609682,50,6.593958974042917,,,
206851519,20,131,210,53244,0,,ÖR2,ÖR2,2,,,,,,,2719.637258507466,50,12.630450332145966,,,
206851526,9,131,115,21760,0,,ÖR2,ÖR2,2,,,,,,,119.85508060384976,0,5.201166626477707,,,
206851520,19,928,928,7163,0,"JO,K",,,3,,,,,,,376.341175456462,0,1.698887197018066,,,
206851521,17,928,928,16780,0,"JO,K",,,3,,,,,,,384.10060799427305,0,3.9798599611679726,,,
206851524,12,928,928,6688,14,"JM,K",,,1,,,,,,,89.70130692247444,0,1.5862085710584382,,,
206851522,16,928,928,12048,10,"JO,K",,,3,,,,,,,456.3680578665332,0,2.8574340697218097,,,
206851523,14,603,115,28668,32,,ÖR2,ÖR2,2,,,,,,,177.35499385473696,0,6.800136243630187,,,
206851527,8,115,311,13718,16,,ÖR2,ÖR2,2,,,,,,,618.5512221331827,0,3.465378939348978,,,
206851528,7,115,311,42582,0,,ÖR2,ÖR2,2,,,,,,,526.9557315190101,0,10.179959666594431,,,
206851532,3,603,115,32790,0,,ÖR2,ÖR2,2,,,,,,,1810.7922057757082,40,7.7813825329742325,,,
206851533,2,311,603,42085,0,,ÖR2,ÖR2,"4,Z2",,,,,,,1775.3361776895104,40,9.986768072339427,,,
206999543,7786,928,928,1793,0,"JM,K",,,3,,,,,,,1130.0677152230303,40,0.4255098368947716,,,
206851529,6,210,311,110991,9,,ÖR2,ÖR2,"4,Z2",,,,,,,631.7880438021699,0,26.470309415094107,,,
206851530,5,210,311,31477,0,,ÖR2,ÖR2,2,,,,,,,1351.6478507258369,40,7.4689094329289425,,,
206851531,4,131,603,56346,0,,ÖR2,ÖR2,"4,Z2",,,,,,,963.4243254118353,0,13.36856343678751,,,
207185254,7725,928,928,8095,0,"JM,K",,,3,,,,,,,1788.1152718317464,40,1.9776158217988753,,,
207185263,10,88,928,12017,0,"JM,K",,,1,,,,,,,321.7814472108999,0,2.850652995045674,,,
207185265,7787,928,928,19526,0,"JM,K",,,3,,,,,,,1242.672984023689,40,4.6734003963594235,,,
207185266,55,928,115,14724,0,,ÖR2,ÖR2,2,,,,,,,1186.2790598327351,40,3.489378738065195,,,
207185270,419,451,451,0,0,,,,,,,,,,,1894.5109618140816,40,0.13178825216630324,,,
207185271,309,115,603,4117,0,,ÖR2,ÖR2,2,,,,,,,696.3583236559183,0,0.9753230547667517,,,
207185272,322,88,928,6656,0,"JM,K",,,3,,,,,,,824.4076258937004,0,1.5775016223988267,,,
207185273,483,928,928,1017,0,"JM,K",,,3,,,,,,,791.4275559030168,0,0.24105376894026717,,,
207185274,460,928,88,10497,0,,ÖR1A,ÖR1A,3,,,,,,,2102.373074875161,50,2.4884943889522906,,,
207185275,308,603,115,64019,0,,ÖR2,ÖR2,2,,,,,,,764.2199540023001,0,15.166717851136838,,,
207185276,313,115,311,88307,0,,ÖR2,ÖR2,"4,Z2",,,,,,,2944.4421197681863,50,20.911686000902275,,,
207185277,315,928,928,10243,0,"JM,K",,,1,,,,,,,3359.5151532717305,80,2.425351426279251,,,
207185278,318,603,210,20531,0,,ÖR2,ÖR2,2,,,,,,,607.1187866956278,0,4.865514456298052,,,
207185279,319,131,603,17532,0,,ÖR2,ÖR2,2,,,,,,,1238.0182678166982,40,4.155127574390879,,,
207185280,323,603,115,92168,0,,ÖR2,ÖR2,2,,,,,,,527.9091662974643,0,21.844988868761646,,,
207185281,326,131,115,24628,0,,ÖR2,ÖR2,2,,,,,,,1683.1151513226512,40,5.836854702756589,,,
207185282,327,131,115,18873,0,,ÖR2,ÖR2,2,,,,,,,1377.5235156064232,40,4.4732112131507185,,,
207185283,328,131,115,18264,0,,ÖR2,ÖR2,2,,,,,,,1069.073395027568,40,4.328472430908813,,,
207185285,330,131,210,27031,0,,ÖR2,ÖR2,2,,,,,,,1769.4329313071598,40,6.406738700359576,,,
207185286,333,88,928,3770,0,"JM,K",,,3,,,,,,,887.0236775205027,0,0.8935814181846806,,,
207185287,334,88,88,3459,0,,ÖR1A,ÖR1A,3,,,,,,,1695.8729960761943,40,0.8199194004451643,,,
207185288,335,603,115,45426,0,,ÖR2,ÖR2,2,,,,,,,1683.4499088892894,40,10.768003834504597,,,
207185289,337,928,928,13439,0,"JM,K",,,3,,,,,,,2446.0049861974735,50,3.1856482081956443,,,
207185291,339,928,928,6231,0,"JM,K",,,3,,,,,,,2356.4045296627482,50,1.4770715765497808,,,
207185292,341,"131,928",603,34855,0,,ÖR2,ÖR2,"4,Z2",,,,,,,1809.3514601121924,40,8.26090826842022,,,
207185293,342,88,928,5042,0,"JM,K",,,3,,,,,,,2292.0553043090804,50,1.1952818829941607,,,
207185294,345,928,928,3361,16,"JM,K",,,3,,,,,,,2206.9081323224127,50,0.7967622501291662,,,
207185295,346,131,115,31703,0,,ÖR2,ÖR2,2,,,,,,,2188.9447324828916,50,7.515827234204768,,,
207185296,418,451,451,1358,0,,,,,,,,,,,1900.0360549902991,40,0.3218644899939372,,,
